Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,PARTREV,SNAPEDA_PN,STANDARD,MAXIMUM_PACKAGE_HEIGHT,MANUFACTURER,LCSC,Description
"J1, J2",2,4910,KEYSTONE_4910,,,,tht,C,4910,Manufacturer Recommendations,4.24mm,Keystone,C3029546,
U1,1,AOTS,TO-220-3_Vertical,,,,tht,,,,,,C17325979,"1.5A 35V Adjustable Linear Regulator, TO-220"
